Experiment,Seed,Pure_TabPFN,BaselineHead,LargeBaselineHead,KGHead_real,KGHead_permuted,KGHead_random,TabPFN_Time,Baseline_Time,LargeBaseline_Time,KGHead_Time,KGHead_permuted_Time,KGHead_random_Time,Repr_Extract_Time,KG_real_minus_Baseline,KG_real_minus_KG_permuted
Tr40_Ft50_Cp20,1,0.654,0.65,0.65,0.612,0.65,0.632,0.6424572467803955,0.21967387199401855,0.40561723709106445,0.6344530582427979,0.5947372913360596,0.5848257541656494,1.6669330596923828,-0.038000000000000034,-0.038000000000000034
Tr40_Ft50_Cp20,2,0.624,0.518,0.524,0.512,0.518,0.514,0.6617720127105713,0.20421719551086426,0.34661102294921875,0.6045560836791992,0.5934503078460693,0.5673482418060303,1.631988286972046,-0.006000000000000005,-0.006000000000000005
Tr40_Ft50_Cp20,3,0.694,0.612,0.612,0.642,0.604,0.594,0.6839559078216553,0.25388169288635254,0.43796873092651367,0.6863760948181152,0.6191849708557129,0.6235511302947998,1.5855891704559326,0.030000000000000027,0.038000000000000034
Tr40_Ft50_Cp20,4,0.726,0.64,0.568,0.586,0.58,0.664,0.6603178977966309,0.18457603454589844,0.4217531681060791,0.7096719741821289,0.6910219192504883,0.6771080493927002,1.692199945449829,-0.05400000000000005,0.006000000000000005
Tr40_Ft50_Cp20,5,0.746,0.702,0.688,0.61,0.626,0.642,0.684643030166626,0.22231411933898926,0.4430348873138428,0.6693029403686523,0.6973559856414795,0.647629976272583,1.5905311107635498,-0.09199999999999997,-0.016000000000000014
Tr40_Ft50_Cp20,6,0.72,0.566,0.56,0.556,0.528,0.544,0.7028801441192627,0.20138096809387207,0.373948335647583,0.6115152835845947,0.6289229393005371,0.6327447891235352,1.511929988861084,-0.009999999999999898,0.028000000000000025
Tr40_Ft50_Cp20,7,0.742,0.72,0.724,0.732,0.734,0.734,0.610015869140625,0.209672212600708,0.42055392265319824,0.7365686893463135,0.758558988571167,0.7193200588226318,1.7007050514221191,0.01200000000000001,-0.0020000000000000018
Tr40_Ft50_Cp20,8,0.686,0.63,0.644,0.596,0.578,0.602,0.6022138595581055,0.2251582145690918,0.3482849597930908,0.5105569362640381,0.5471067428588867,0.7026641368865967,1.6541669368743896,-0.03400000000000003,0.018000000000000016
Tr40_Ft50_Cp20,9,0.714,0.75,0.73,0.7,0.718,0.64,0.6299171447753906,0.22579598426818848,0.30939292907714844,0.5358541011810303,0.5487160682678223,0.5548527240753174,1.7457540035247803,-0.050000000000000044,-0.018000000000000016
Tr40_Ft50_Cp20,10,0.698,0.66,0.638,0.602,0.572,0.632,0.7555460929870605,0.25710391998291016,0.4482271671295166,0.6038339138031006,0.6172990798950195,0.6055469512939453,1.9192698001861572,-0.05800000000000005,0.030000000000000027
Tr40_Ft50_Cp20,11,0.618,0.592,0.594,0.604,0.592,0.61,0.7247490882873535,0.19400596618652344,0.36524415016174316,0.6036968231201172,0.5807032585144043,0.6054699420928955,1.7679569721221924,0.01200000000000001,0.01200000000000001
Tr40_Ft50_Cp20,12,0.7,0.608,0.616,0.568,0.548,0.56,0.7291820049285889,0.2186288833618164,0.3838341236114502,0.6231741905212402,0.6350908279418945,0.5478861331939697,1.6592540740966797,-0.040000000000000036,0.019999999999999907
Tr40_Ft50_Cp20,13,0.704,0.598,0.602,0.582,0.594,0.58,0.6479580402374268,0.2120378017425537,0.38610100746154785,0.647697925567627,0.5988740921020508,0.6110789775848389,1.7450921535491943,-0.016000000000000014,-0.01200000000000001
Tr40_Ft50_Cp20,14,0.614,0.658,0.654,0.582,0.676,0.604,0.6018731594085693,0.25968194007873535,0.4272439479827881,0.673457145690918,0.6515247821807861,0.6266801357269287,1.515631914138794,-0.07600000000000007,-0.09400000000000008
Tr40_Ft50_Cp20,15,0.684,0.63,0.64,0.654,0.662,0.642,0.6231317520141602,0.2118968963623047,0.48917722702026367,0.573570966720581,0.5683770179748535,0.6890261173248291,1.5833930969238281,0.02400000000000002,-0.008000000000000007
Tr40_Ft50_Cp20,16,0.704,0.662,0.662,0.66,0.674,0.68,0.7430012226104736,0.20604634284973145,0.40951013565063477,0.600743293762207,0.6023080348968506,0.5819370746612549,1.894956111907959,-0.0020000000000000018,-0.014000000000000012
Tr40_Ft50_Cp20,17,0.696,0.626,0.63,0.648,0.64,0.64,0.6646921634674072,0.1898670196533203,0.3070859909057617,0.5413281917572021,0.5048620700836182,0.477276086807251,1.6322729587554932,0.02200000000000002,0.008000000000000007
Tr40_Ft50_Cp20,18,0.714,0.694,0.68,0.69,0.7,0.672,0.6581230163574219,0.2094571590423584,0.38616490364074707,0.6888258457183838,0.6574342250823975,0.6507580280303955,1.592283010482788,-0.0040000000000000036,-0.010000000000000009
Tr40_Ft50_Cp20,19,0.63,0.474,0.464,0.484,0.528,0.5,0.6157891750335693,0.21045303344726562,0.37238121032714844,0.5887649059295654,0.5964441299438477,0.5861420631408691,1.90570068359375,0.010000000000000009,-0.04400000000000004
